number,country,description,points,price,province
38470,Australia,"So green and peppery on the nose it seems jalape?o-like. There is plenty of citrus fruit as well, giving a slightly disjointed impression a this early age. This medium-bodied wine turns lean on the abbreviated finish. Try now with raw oysters or clams, or hold for at least five years.",85,20,New South Wales
38480,Austria,"This light, crisp sparkling wine is just off dry in style. It is perfumed and softly textured with a fresh mousse that offers attractive creaminess.",85,16,Austria
38490,Argentina,"Minty boysenberry aromas show modest minerality. The palate feels acidic and clipped, while angular berry flavors lead the charge. A minty, peppery finish comes with scouring acidity, so this needs food.",85,16,Mendoza Province
38500,Italy,"Aromas of blueberry jam, scorched earth, leather, truffle and coffee lead the way on this ripe, accessible wine. The chewy palate offers fleshy blackberry, anise, toast, espresso and a confectionary note alongside mature but rather fleeting tannins. Drink 2016??020.",89,40,Tuscany
38510,US,"The raspberry aromas are bright and jammy. The flavors are sumptuous yet elegant, going down easy.",89,30,Idaho
38520,France,"This wine is still young, tight and on the crisp acid side. That doesn't mean it won't soften and fill out, although it will probably stay ultrafresh and packed with red-currant flavors for some time. Wait to drink until 2018.",89,40,Burgundy
38530,Italy,"At 90% Sangiovese and 10% Merlot, this is a sculpted, perfumed second-vintage red with cranberry as well as cherry fruit and well-integrated oak. What makes this a winner, especially with food, is that the crystalline, racy fruit far outshadows the oak. It's not old-school, but you'd still have to call it a traditional Tuscan wine.",92,32,Tuscany
38540,Italy,"Sandro Chia's winery is known not only for its reliable and enjoyable wines, but also for the art series labels—work from his New York and Montalcino studios—for each vintage. In 1997, the estate has produced an intense wine, skillfully managing the sweet wood and rich, dark and concentrated fruit. The wine will age well—coming to maturity in 10 years or more—but will surely be drinkable in five.",92,55,Tuscany
38550,Italy,"The name is a play on words. Merli is the plural of “blackbirds,??and this wine is 100% Merlot. But it isn't for the birds. Black as night in the glass, with a brooding power that's confirmed on the palate. What's special about it is that unlike so many flabby Merlots, it carries Chianti-like acidity and an unbridled raciness. Excellent now with food, and it will age well, too.",91,89,Tuscany
38560,US,"A blend every year of 60% Cabernet Sauvignon and 40% Merlot, the 2010 is rich and spicy, rounded with soft tannins and prime red raspberry and cherry fruit. Well integrated, a layering of chocolate, coffee and clove finish the wine off nicely.",89,34,California
38570,Italy,"Rina Ianca (a blend of Grillo and Viognier) is a beautiful wine with good complexity and character. The emphasis here is on aromas of peach, almond blossom, white mineral and creamy vanilla and the mouthfeel offers both density and persistency.",87,13,Sicily & Sardinia
38580,US,"This is a nice, plush Cabernet, soft and sweet in blackberry, currant and chocolate fruit flavors, but it's not a classic example of Mount Veeder Cabs, which are usually drier and more tannic. Drink in the short term.",87,86,California
38590,US,"Moderately ripe, with decent varietal character, this light and tart single vineyard offering tastes of simple berry/cherry fruit, with hints of more herbal elements. The finish gets chalky.",86,40,Oregon
38600,Spain,"Falls into the dark and roasted category, with aromas of leather, black fruits and toast. The palate is saturated and full, with dark, roasted black fruit, molasses and spice flavors. Warm on the finish almost to the point of being hot, but not quite. A very solid wine overall.",88,19,Northern Spain
38610,Spain,"Familiar aromas of black fruit, licorice and earth get it going, followed by saturated body weight that reaches all corners of the mouth while displaying earthy, chunky blackberry and black cherry flavors. Flush, comfortable and slightly heavy. Drink now through 2012.",88,20,Northern Spain
38620,Spain,"Light cherry and berry aromas are a bit candied, and the palate is more so. It's almost sugary sweet, but fortunately the wine has good acidity and bounce, so it's not cloying or sticky. Definitely for fans of white Zin and other sweet rosés.",84,13,Catalonia
38630,France,"A light-bodied, somewhat austere sparkler that's short on fruit but long on mineral and earthy notes suggesting wet clay and chalk. Finishes fresh.",84,16,Alsace
38640,Hungary,"This wine is a blend of international and indigenous Hungarian varieties, made from 60% Furmint, 17% Hárslevelu, 11% Chardonnay, 9% Sauvignon Blanc and 3% Muscat. A bouquet of creamsicle and lychee set the stage for flavors of tropical fruits and orange zest. It is sinewy on the palate, with a surprisingly velvety finish.",89,24,Tokaj
38650,Chile,"Dark, smoky aromas of freshly laid pavement come with leathery berry scents along with wood and eucalyptus notes. Bright to the point of being aggressive on the palate, this shows spicy, peppery flavors of red-berry fruits and oak. A woody, resiny finish is potent like the rest of this Cabernet. Drink through 2020.",89,20,Maipo Valley
38660,US,"Bing cherries and cranberries are spiced with black cardamom on the slightly cough-syrupy nose of this wine. Iron and blood flavors show on the palate, with dried red cherries and rose petals.",89,42,California
38670,Argentina,"Broad, woody, buttery aromas blend with blackberry, cassis and grapy notes on a full-force bouquet. This Uco Valley Malbec is lush, fruity and chunky in feel, with ripe, spicy, earthy flavors of blackberry and fresh herbs. A long, woody, toasty finish confirms high quality, length and power; drink through 2022.",92,90,Mendoza Province
38680,Portugal,"Produced from vines in the heart of D?o, just south of Viseu, this is a rich, ripely tropical wine. It has a great perfume from the Malvasia Fina in the blend, along with fresher acidity. Generous and full in the mouth, it is delicious and ready to drink now.",92,37,D?o
38690,Italy,"This opens with a subtle, refined fragrance of perfumed berry, rose, violet and a whiff of sweet baking spice. On the palate, notes of roasted herb, tobacco and white pepper add depth to the core of ripe dark cherry and crushed raspberry. Bracing but refined tannins provide the framework and need time to unwind.",92,38,Piedmont
38700,Italy,"This simple, easy-going Nero d'Avola opens with a slightly burnt or charred characteristic that recalls asphalt and rubber tire. Wait a few minutes for the red fruit and almond to come through.",84,17,Sicily & Sardinia
38710,US,"Tough in tannins and bone dry, this Merlot's raisin and blackberry fruit simply isn't strong enough to stand up to the astringency.",83,20,California
38720,US,"Unabashedly bold, this Texas rosé hits the nose with a dose of lilac and rose perfume that lingers a bit obtrusively onto the palate. Off-dry in style, it's chunky on the palate, but finishes nicely, with a hint of tart red-plum flavors. Drink now.",83,14,Texas
38730,US,"Italian varietals can excel in this SoCal zone, and this Sangiovese-led Super Tuscan blend is a prime example, with crushed graphite, tobacco, juicy blackberry and woodpile notes on the nose. Dried oregano, marjoram and thyme arise on the palate, with a sultry baked-plum flavor on the midpalate and pencil shavings and incense throughout.",90,50,California
38740,US,"This proprietary blend of Zinfandel, Syrah and Malbec satisfies, offering a crisp, creamy layering of strawberry and grapefruit atop a medium-sized body and salty, tangy finish.",90,25,California
38750,US,"This wine is a blend of 45% Grenache, 37% Syrah and 18% Mourvèdre, coming from Boushey, Pepper Bridge, Olsen and Minnick vineyards. The aromas pop with notes of clove, orange peel, black pepper, funk and red and blue berries. The palate is lithe, pure and focused, with a pleasing mouthfeel and sense of balance to the citrus and blue-fruit flavors.",90,20,Washington
38760,US,"This wine is opulent with flavors of orange, peach, mangoes and oak, with excellent acidity. Open now and pair with lobster, crab, scallops or tuna.",91,41,California
38770,US,"A 100% varietal wine coming from Block 14 of this up-and-coming vineyard, it has a lot of appeal with notes of dark-brewed coffee, chocolate, cherries and black raspberries. Aged 18 months in half new French oak, it's silky, soft, and supple, showing a lot of polish and restraint.",91,30,Washington
38780,US,"A very dark color and ripe, almost raisiny aromas lead to rich, opulent flavors like chocolate-covered cherries and blackberry jam. These saturate a velvety texture of good acidity and firm tannins. While the wine is full of big flavors from ripe or overripe grapes, it has the structure to support them.",89,46,California
38790,US,"Juicy and soft, this special super-sized bottling will make for a fun wine at a large gathering, approachable and suitably full bodied. Red fruit and oak intermingle around velvety textures of integrated tannins, finishing in a long seasoning of allspice.",89,27,California
38800,France,"Superripe Merlot has pushed up the alcohol in this wine. It gives a rich, opulent texture of blackberry jam flavors that are well balanced by the acidity and perfumed character. The broad, generous character gets a fresh lift from the final acidity. Drink from 2018. This Guinjard family wine is 95% Merlot, 3% Cabernet Franc and 2% Cabernet Sauvignon from a 19-acre vineyard.",89,,Bordeaux
38810,Italy,"Here's a Gavi with a heady fragrance of wild flowers, apple and white cherry. The round palate delivers creamy, ripe pear, green apple and mineral with a hint of lemon and herbs. Pair it with pasta topped with sun-dried tomato pesto.",88,25,Piedmont
38820,US,"Co-fermented with 5% Viognier, this Syrah is direct and appealing with notes of boysenberry jam, smoked meat and orange peel. The palate is soft and sumptuous in feel with tart fruit flavors.",88,29,Idaho
38830,France,"This is a full, rich wine that has pears and yellow fruits to contrast a fresh minerality and brisk acidity. As the wine opens, it's increasingly bright and crisp in character. A well balanced wine that's full of fruitiness.",88,,Champagne
38840,France,"This 10-acre estate dates from the 16th century. Today, it has produced a solidly structured wine with firm tannins and a dense textured character. The black fruits are firm with considerable intensity and backed with spice and acidity. Drink from 2021.",90,26,Bordeaux
38850,Austria,"A gentle hint of soft and mellow vanilla frames the ripe, red-cherry fruit that appears readily on the nose. The palate discloses that same mix of fruit and oak influence, wrapping fresh cherry, both tart and ripe, in a rounded, smooth cloak of smoky vanilla. Tannins are fine and gentle. This wine is both fresh and fruity, with a bright, fresh finish.",90,15,Burgenland
38860,US,"Aromas of herb, freshly sliced green pepper, cherry and spice lead to plush and sweet plum flavors, speckled with dark-chocolate accents throughout. It brings an impeccable sense of balance along with an appealing texture. Might be a little green for some tastes.",90,60,Washington
38870,US,"A light, elegant nose of almonds, apple and honeysuckle, followed by fresh flavors of nuts, apple and flowers on the palate. Pretty, balanced and lingering in the finish. A great food wine.",87,23,New York
38880,Spain,"A little heat on the nose is acceptable given that the remaining cherry and plum aromas are pure. A bit acidic on the palate but staunchly fresh, with good fruit flavor in the red plum category. Cleansing due to higher acidity, with hints of mocha and mineral.",86,10,Northern Spain
38890,New Zealand,"Starting to show its age with a pale golden hue, this fumé is classy and restrained. Aromas of waxy lemon, pineapple and green bean mingle with base notes of butterscotch and smoke from the oak. The palate offers less excitement with the fruit disappearing some and searing acidity taking over. Nevertheless, this wine would be a versatile pairing for a variety of dishes.",89,22,South Island
38900,Italy,"Silky and fresh, this bright sparkler delivers aromas and flavors of ripe apple, Bartlett pear and creamy white peach. Tangy acidity and a foaming perlage provide the polished backdrop.",89,19,Veneto
38910,Spain,"Honey and nut aromas lead to a simple and balanced palate. Sweet flavors of caramel and sugar-coated pecan are enjoyable. On the finish, a mix of mushroom, pecan, coffee and toffee flavors are good but sticky.",89,20,Andalucia
38920,Moldova,"This Icewine is a blend of Muscat, Ottonel and Traminer. It presents the nose with caramelized pineapple, lemon curd and lemon meringue pie. It is fairly sweet on the palate with a mixture of lemon grass, sweet lime rind and lemon curd.",88,42,Moldova
38930,France,"Produced in western Touraine, close to Chinon and its red wines, this soft wine is ready to drink. With its smoky character and jammy fruit flavors, it is very much a light, perfumed Cabernet Franc. The aftertaste is dry, although the fruit is always there.",88,19,Loire Valley
38940,US,"Sweet-tart raspberry and cranberry aromas are lifted and spry on this fresh, aromatic Pinot Noir. The palate is markedly riper and richer, boasting dark cherry and berry flavors and heady spice tones that linger. Tannins are a bit craggy and bitter but finely grained.",88,26,New York
38950,Australia,"Fruit from 900 of some of the planet's oldest vines goes into this wine, which gives it an interesting link to the past as well as being excellent. Cedary notes frame blueberry and blackberry fruit, picking up nuances of menthol, hickory smoke and mocha along the way. The supple tannins seem to gain grip as you sip, finishing firm enough to suggest cellaring up to 15 years.",94,235,South Australia
38960,Italy,"Another stunning expression of the Monvigliero vineyard, it opens with an alluring Nebbiolo fragrance of ripe red berry, spice, leather, vineyard dust and balsamic notes. The structured and savory palate doles out rich red cherry, white pepper, cinnamon, licorice and Mediterranean herbs alongside firm but supple tannins and vibrant acidity. It's loaded with flavor and finesse. Drink after 2020.",94,78,Piedmont
38970,Argentina,Stalky green aromas lead to a palate that has a choppy feel combined with lactic notes. Flavors of stewy red fruits and resiny oak finish minty and with vegetal character.,81,15,Mendoza Province
38980,Italy,"Here's a gorgeous Chianti Classico that shows great intensity, breeding and class. It opens with quintessential varietal aromas of leather, blue flower, berry and spice. The palate delivers juicy black cherry, white pepper, cinnamon and mint alongside bracing but refined tannins and fresh acidity. It already has compelling depth but is still young and needs time to develop even more complexity. Drink 2016??030.",96,63,Tuscany
38990,US,"Here we have a fascinating wine that's elegant and opulent, massive and controlled, flattering yet elusive, all at once. That combination of opposites gives it intellectual interest, a wine worth thinking and talking about. Technically, it's dry, fairly high in alcohol and oaky. The 100% Cabernet grapes off the estate are incredibly concentrated in black currants and cassis, showing their sunny, high elevation origins on Pritchard Hill. The wine is not perfect. There's a certain hollowness mid-palate, which has to be attributed to the challenging vintage. But it's a fabulous Cabernet to drink now, and it will reward cellaring for 10 years.",95,175,California
39000,Portugal,"Tightly herbal and packed with green fruits, this is a full and ripe wine. It is still very young with its initial fruit flavors still intact. It will calm down over the next few months and be better to drink from 2017.",85,12,Tejo
39010,France,There is plenty of red fruit here. The tannins are firm with a dry core and hints of bitterness. That needs to settle down so that the essential fruitiness of the wine can shine.,85,18,Bordeaux
39020,Spain,"Aromas of roasted, grapy berry fruits come with oak-based notes of plastic and clove. This wine feels full in body, with hard tannins. Flavors of woodspice, hickory and black fruits finish with a lingering hint of wood smoke.",85,11,Northern Spain
39030,Spain,"The nose on this Garnacha Blanca is funky and blends aromas of cured ham and salami with lees and citrus. The palate feels right, with solid acidity. Flavors of tangerine, gooseberry and nectarine end pulpy and citric, with a touch of green herbs.",87,17,Catalonia
39040,France,"Delicate and dainty, this pretty selection boasts soft aromas and flavors of white cherry, bergamot tea, orange rind and hard peach. Light weight and refreshing, the lively acidity keeps the palate brisk and the fruit flavors fresh.",87,11,Languedoc-Roussillon
39050,US,"There are said to be fewer than 100 acres of Teroldego in California, so this one is worth trying. Midweight and fruity, it has lavender, anise and leather lightly folded into the mix. A good wine to start the evening and enjoy by the glass.",87,24,California
39060,US,"This is a bright, effusive, estate-grown, unfiltered white, delineated by high-toned acidity and gorgeously floral aromatics. Planted originally in 1975 to heritage Wente clone Chardonnay by owner/winemaker Tom Dehlinger, its generosity of fresh apple and pear ride a voluptuous, balanced texture that's wholly satisfying, before meeting deeper hues of spicy, exotic tropical tones on the finish.",95,40,California
39070,Italy,"Iris, violet, steeped cherry, camphor and underbrush aromas come together in the glass. The chewy, succulent palate offers red cherry, raspberry, aromatic herb and star anise while firm but refined tannins provide backbone and a velvety mouthfeel. It boasts balance, freshness and body. Drink 2018 through 2025.",94,45,Piedmont
39080,US,"Shea is one of the Willamette Valley's most revered sites, and an all-star list of wineries compete for the fruit. Here the bright flavors of ripe raspberries are elevated with tangy acids, putting a tight frame of citrus around the core. A whiff of sea breeze comes up as well, enticing the taster to explore a bit more deeply. Already irresistible, this evocative wine will cellar well for at least a decade. Drink now through 2028.",94,55,Oregon
39090,US,"Pale straw in color, this wine brings alluring aromas of toast, spice, clarified butter and stone fruit. The palate is full bodied with sweet, generous peach and tropical-fruit flavors that sail on the finish.",91,35,Washington
39100,France,"Yellow peach, honeysuckle and russet pear combine in a very inviting nose. The palate amalgamates these flavors even more, bathing them in tangy but sightly sweet orange notes. The result is a bullet of flavor and freshness, balanced, friendly and very moreish. The finish is off dry and wonderfully clean and spicy.",91,23,Alsace
39110,US,"This brooding, brawny wine made from mountain fruit is all about mushroom and compost notes—a true expression of the vineyard's surroundings. Black cherry fruit and youthful tannins provide context, with a sizzling streak of acidity.",91,50,California
39120,Spain,"Oaky spice, vanilla and dried-cherry aromas are classic Rioja. This feels round and good, with dry tannins and bright acidity. Toasty brown-sugar and chocolate notes grace mild red-fruit flavors on this textbook wine. Drink through 2020.",89,15,Northern Spain
39130,Italy,"Chopped herbs, white almond and citrus zest aromas take shape on this luminous wine. The vibrant palate offers yellow apple, grapefruit and mineral alongside racy acidity and a persistent perlage. An almond note backs up the finish.",89,20,Veneto
39140,Italy,"Bright and fragrant, this offers scents of acacia, herbs and stone fruit accented by a hint of nuts. The bright palate offers white peach, green apple and citrus framed in vibrant acidity together with a frothy mousse.",89,20,Veneto
39150,US,"Juicy red fruit that flirts in cherry and vanilla opens this complex, florally aromatic wine from the Rudd Vineyard on Mount Veeder. Thick, integrated tannins support a concentrated structure, marked by herb and cedar, finishing dry and lean.",88,60,California
39160,Italy,"Dried yellow flowers, chamomile, acacia and ripe pear aromas lead the nose. The firm palate delivers yellow apple, hazelnut and a mineral note alongside bright acidity and a refined perlage.",88,18,Veneto
39170,France,"This wine is ripe and fruity, with a soft texture. Made in the northern Burgundy region of Saint-Bris, it conveys an attractive cool feel, emphasizing apples, lemon and a fresh, crisp aftertaste. Drink now.",88,23,Burgundy
39180,US,"Beet juice, cinnamon, clove and turned earth show on the nose of this bottling from Malibu-based winemaker Jim Palmer. The palate offers dusty leather, raspberry fruit, dried herbs and a chalky texture, cut by moderate acidity.",88,65,California
39190,France,The slightest notion of honeysuckle reaches the nose. The light and dry palate diffuses the aromatic notions of Muscat only slightly. There is lovely lightness and lots of lemon freshness.,88,23,Alsace
39200,US,"From estate-grown Pommard clone fruit, this wine shows earthy forest notes against moderate acidity and mellow oak. Medium-bodied, it plays well on the palate with a balance of cranberry and clove flavors.",88,42,California
39210,US,"The aromas pop on this 100% varietal, with notes of dark plum, mountain blueberry, vanilla and cream. The flavors are smooth and sultry, mixing fruit and barrel with a plush feel and a lightly astringent finish. The variety is hard to get but it delivers a lot of enjoyment.",89,30,Washington
39220,Italy,"Forest floor, new leather, tobacco and crushed herb aromas emerge in the glass. It's youthfully austere and a bit lean, with sour cherry, pomegranate, sage and white pepper framed in vibrant acidity and assertive fine-grained tannins. Drink 2023??035.",89,,Piedmont
39230,France,"This is a cave cooperative's top white Crozes bottling, fermented and aged in oak. Smoky, toasty notes support exotic apricot and pineapple fruit that's initially attractive, then doesn't quite follow through on the finish. Drink now.",89,42,Rh?ne Valley
39240,US,"The malolactic fermentation on this unoaked wine was blocked, so this is brimming with pure orange and lime flavors. The acidity is brisk and clean.",87,18,California
39250,US,"Smooth, rich and mellow, this has flavors of chocolate, raspberry, cherry and buttered toast that almost taste sweet. The tannins and acids eventually kick in, and the finish turns nicely dry. Drink now.",87,26,California
39260,US,"This Pinot is starting to lose its primary fruit, and it's gradually becoming mushroomy and earthy. But the raspberry and cherry flavors are still plentiful, and the finish is dry and clean. It's an interesting, complex wine to drink now.",87,53,California
39270,US,"From a superior block at the Red Willow vineyard, this pure Syrah was aged in 100% new French oak. It's concentrated and tangy, with wild berry fruit streaked with oolong tea, licorice, dark chocolate and coffee liqueur.",91,45,Washington
39280,France,"Now mature, this smoky, wood-aged wine is rich and complex. It has firm and dry tannins that are typical of the Tannat although these are a part of a solid, dark wine. The aftertaste brings out a perfumed, rich side that is attractive. The wine is ready to drink.",91,38,Southwest France
39290,US,"A true sensation. Shows the richness and concentration you want in a great Napa Cab, but also a structure that lifts it above the soft, mushy wines that are so prevalent. There's real tannin and acid architecture framing the opulent blackberry, black currant, mineral and cedar flavors, and the finish is dry, dry, dry. Every sip offers something different as it changes in the glass. A world-class wine that defines elegance, power and complexity. Should age effortlessly for at least a decade.",97,150,California
39300,Italy,In terms of overall quality this is the best yet from this sea-facing estate in coastal Tuscany. The blend sees Cabernet Sauvignon enhanced by Merlot and Cabernet Franc and the overall effect is one of impressive intensity and sophistication. The finish is velvety rich and smooth.,95,60,Tuscany
39310,Austria,"Fresh, superripe as well as candied pineapple combine to give utter opulence to this rich and viscous wine. The longer you taste, the more intense—almost heady—these tropical flavors become. What is more, as an ice wine untainted by any botrytis, this shines with purity and drive, and has astonishing acidity that keeps this just on the right side of paradise.",94,,Vienna
39320,US,"This deftly hits on all cylinders, delivering big fruit, firm acid, fresh mineral and rich, toasty new-barrel highlights. Juicy, textural and deep, it's a wine to gulp, to savor and to share.",94,38,Washington
39330,Chile,"Aromas of olive, mushroom and berry fruits are lightly herbal. This Cabernet feels scratchy, abrupt and edgy, while herbal raspberry and plum flavors finish solid and with a slight note of pickle.",87,18,Maipo Valley
39340,Spain,"This wine's suntan lotion aromas and mild volatility are a bit disconcerting. On the palate, it's full and dark, with abrasive, rubbery tannins and jammy currant and black cherry flavors that finish strong.",87,9,Northern Spain
39350,US,"This is a well-proportioned, pleasantly balanced wine made from white Rh?ne grape varieties. It has plenty of fruit and a smooth, almost soft texture. Fresh apple and pear aromas meet nutmeg and vanilla flavors on the palate.",87,26,California
39360,US,"Densely packed rose, black cherries, sandalwood and a flash of pepper show in this bottling—a new project featuring a risqué label by Peachy Canyon. Pepper, smoke and roasted pork are evident on the dry palate, alongside a hint of lilac.",91,38,California
39370,Australia,"This wine shows a grape jelly note that might be a little on the ripe side, but the cedary, cigar box characters balance things out beautifully. The palate is medium bodied, with a long line of focused acidity, herbs, an earthy core and a long cigar-box finish.",91,25,South Australia
39380,France,"With 30% of the harvest aged in new oak, this is a spicy, toasty wine. That shows through in the firm tannins that back up the rich black fruit. Produced from 30-year-old vines, it has concentration and a fine, solid texture. Drink from 2022.",91,45,Bordeaux
39390,US,"Tart and tangy, these recently grafted Riesling vines deliver just-ripe flavors of Meyer lemon, lime, grapefruit and pineapple. It's close to a fruit bomb, but the significant acid underpinning keeps it juicy and gives it extra lift.",92,28,Oregon
39400,US,"A handful of Pritchard Hill Petit Verdot adds color and vibrancy to this impressive wine, sinewy in leather, black pepper and robust cigar. Currant and cedar highlights make for a classic profile, with firm, integrated tannin in support. This wine should do well in the cellar, finding its peak between 2021 and 2023.",92,85,California
39410,France,"The famous nonvintage from Louis Roederer has evolved and become just that little bit drier. This bottling emphasizes white fruits and crisp acidity as well as mineral texture. It is a complete wine, all the elements there. Another few months bottle age will make this wine even better, so wait until 2017.",92,54,Champagne
39420,US,"The nose is packed with dark notes of desiccated strawberry, red currant and caramel lozenge, plus dried herb and maduro subtleties. Astringent, lip-grabbing tannins bolster the fleshy, medium- to full-bodied palate. A few more years of bottle aging should help mitigate some of the tannic blow, but enjoy it now with a brief decanting and a slab of grilled meat.",90,50,Virginia
39430,France,"Big and ripe, this is structured with fine acids, rich berry fruits and firm tannins. The ensemble is full bodied, juicy and elegant, finishing with crisp flavors of red cherry and pepper.",90,,Beaujolais
39440,France,"Dense and concentrated, with a mint flavor from the new wood, this is a wine that combines rich plum and blackberry flavors with firm tannins and juicy acids. Because it is so rich, it is likely to be ready to be drink in the next 2?? years.",90,24,Southwest France
39450,US,"Shows very bright acidity and a firm minerality, which gives it a tangy, mouthwatering vitality. Rich, too, in lemondrop candy, pineapple jam and spice flavors. The oak has been tastefully applied, with just- right notes of buttered toast. A flattering, balanced, elegant Chardonnay for drinking soon.",93,30,California
39460,Spain,"Licorice, schist, wild herbs and spicy berry fruit form an alluring bouquet. The palate is jammy but firm, with mouthfilling tannins and schisty flavors of blackberry that come with a fine herbal streak. Meaty and tannic but balanced and deep; a classy taste of Priorat to drink now through 2018.",93,95,Catalonia
39470,Spain,"Composed and not the least bit pushy or punishing on the bouquet, this has gorgeous berry and spice aromas. It feels a bit racy and high in acidity, but that will only serve the wine well in the long run. Plum and boysenberry flavors lead to a racy, high-acid finish. Drink now??020.",91,30,Levante
39480,France,"Viognier from the Southern Rh?ne can often be overripe and heavy, but while this offering from Grand Veneur is full bodied and richly textured, it remains reasonably fresh. Apricot, pineapple and passion fruit flavors mingle easily on the palate, finishing clean and long. Drink now.",90,25,Rh?ne Valley
39490,Chile,"Warm, earthy and stewed smelling, but then sharp and tangy and acidic in the mouth. Red fruits are dominant, but there's a persistent scour to the wine that doesn't allow it to get to the next level of quality or ripeness.",83,10,Colchagua Valley
39500,US,"Simple, with jammy pineapple, mango and vanilla cream flavors that finish sugary sweet.",82,12,California
39510,Bulgaria,"Though pleasant aromatically with lots of freshly cut grass and gooseberry notes, this full-bodied, dry Bulgarian Sauvignon Blanc has a dense, clunky mouthfeel and a bracingly high acidity. There's some decent lemon and grapefruit flavors, but plenty of tinned green asparagus as well.",82,9,Bulgaria
39520,US,"There's something softly seductive about this Cabernet. Its tannins are finely ground and acidity is low, resulting in a melted, velvety mouthfeel. The flavors are just fine, of black cherries and cedar.",87,20,California
39530,US,"A nice, flavorful and dry Syrah for drinking now with barbecue or a rich lamb or beef stew. Soft and gentle, it's rich in blackberries, cherries, currants, beef jerky, pepper and smoky oak.",87,20,California
39540,US,"High alcohol of 20% makes this dessert wine hot in the mouth. That's the main impression, because the sweetness and fruit aren't quite strong enough to balance the heat. Nonetheless it's pretty sweet, with blackberry jam and chocolate flavors.",87,40,California
39550,France,"This feels light and rather dilute. It has varietal pepper and some spice, but the main effect is one of acidity, crispness and freshness. The lychee tropical fruit element is underplayed in favor of crispness. It should certainly work with food.",87,25,Alsace
39560,US,"Longoria has worked with this finicky Spanish grape variety for years, with mixed results. This 2010 is lower in alcohol than the wine has been in a long time, which gives it a delicate mouthfeel. It's dense in cherries, currants, bacon and licorice, but finishes dry. Easy to like for its soft deliciousness.",88,36,California
39570,US,"Dry, tannic and impressive for its depth of fruit, showing blackberry, chocolate and currant flavors that veer into overripe raisins, which gives some bitterness to the finish. The mouthfeel is a little hot in alcohol, but creamy smooth. Hard to say where this wine is going, so drink over the next four years.",88,115,California
39580,US,"A solid Cabernet from this hot appellation, located well inland in Sonoma County. The wine is dry, tannic and fairly high in alcohol, although it wears its heat well. The fruit is very ripe in the direction of black currants and dark chocolate. Will hold and change over the next 6?? years, turning drier and earthier, but you can drink it now.",88,50,California
39590,Italy,"There are raw, bright qualities of cherry liqueur and raspberry syrup that open the nose. It shows solid and polished tannins.",88,16,Southern Italy
39600,Portugal,"This finely structured wine from the Quinta dos Murcas estate has ripe flavors of spice and red berry. Its warm feel is shot through with acidity for the perfect amount of tension. You can drink this now, but it would benefit from another year of aging.",88,13,Douro
39610,Italy,"The Colli Euganei is an up-and-coming wine region located in a volcanic chain of hills outside the city of Padua. This expression of Moscato is sweet and enduring, with aromas of yellow rose and jasmine.",88,50,Veneto
39620,US,"Cinnamon and spearmint elements give depth to the pinpoint, laser-sharp fruit notes of cherry blossom and strawberry on this bottling. Strong herbal flavors of thyme and marjoram and spices of green cardamom of peppercorn hit the palate right away, seasoning cranberry and pomegranate fruit, and finishing on a slate minerality.",92,55,California
39630,US,"A fabulous, relatively affordable way to break into this cult winery, this blend of 30% Syrah, 26% Carignane, 22% Grenache, 19% Mourvèdre and 3% Cabernet Sauvignon offers teriyaki, char, fresh fennel, scarlet-red roses, anise, pencil lead and black raspberry on the nose. The sip is lively and action-packed with energetic peppercorn and lavender as well as richer tar, soy, blueberry and blackberry elements.",91,36,California
39640,US,"Warm caramel-laden notes of French toast and baking bread mix with black-cherry paste and shaved vanilla on the nose of this bottling. It's rich and full on the palate, with loads of black currant and plum fruit, a touch of teriyaki and a delicious chocolate-chip-cookie quality. The medium tannins are approachable, making this easy to drink right now.",91,34,California
39650,US,"Cabernet Sauvignon gives this wine a luscious, elegant mouthfeel, with classic currant and cedar flavors. Syrah brings a gamy, leathery note, with white pepper accents. The result is an interesting, complex young wine of power and authority. Drink now.",92,52,California
39660,US,"Acorn has produced one of their best bottlings ever. The wine is drily crisp and tannic, but rich and supple, with cassis, cherry and carob flavors that have an earthy, mushroom and tobacco grounding. The wine contains smaller amounts of at least 10 other varieties, in the manner of an old field blend.",91,34,California
39670,France,"This rich, rounded wine shows ripe yellow fruits, pineapple flavors and a texture that just hints at minerality. All this rich fruit is so generously balanced with acidity and a juicy, fruity and fresh aftertaste. At the same time, the wine has weight, depth of flavor and a background structure that will allow it to age. Drink from 2018.",93,,Burgundy
39680,Italy,"Aromas of underbrush, scorched earth, game, woodland berry and a balsamic note lead the nose. The youthful, tightly wound palate offers black cherry, crushed raspberry, anise, chopped herb, clove and tobacco alongside firm, noble tannins and bright acidity. Oliver McCrum Wines and Petit Pois.",93,48,Piedmont
39690,France,"Produced from old vines, this is a beautiful wine. It has great structure, minerality and concentration along with a full-bodied richness that is developing well. Combined with the ripe yellow fruits, they give an opulent wine that will age for several years. Drink from 2018.",93,89,Burgundy
39700,US,"The grapes are from an old vineyard on the warmer eastern side of Russian River Valley, in the Mayacamas foothills. The wine is exceptionally ripe, with blackberries veering into prunes and raisins. The tannins are wonderfully smooth and complex. Drink it now with barbecue.",87,45,California
